"x","y","pred","pred_var","time_in_seconds"
-60,-50,NA,NA,3.82455
-59.9396984924623,-50,NA,NA,3.82455
-59.8793969849246,-50,NA,NA,3.82455
-59.8190954773869,-50,NA,NA,3.82455
-59.7587939698492,-50,NA,NA,3.82455
-59.6984924623116,-50,NA,NA,3.82455
-59.6381909547739,-50,NA,NA,3.82455
-59.5778894472362,-50,NA,NA,3.82455
-59.5175879396985,-50,NA,NA,3.82455
-59.4572864321608,-50,NA,NA,3.82455
-59.3969849246231,-50,NA,NA,3.82455
-59.3366834170854,-50,NA,NA,3.82455
-59.2763819095477,-50,NA,NA,3.82455
-59.21608040201,-50,NA,NA,3.82455
-59.1557788944724,-50,NA,NA,3.82455
-59.0954773869347,-50,NA,NA,3.82455
-59.035175879397,-50,NA,NA,3.82455
-58.9748743718593,-50,NA,NA,3.82455
-58.9145728643216,-50,NA,NA,3.82455
-58.8542713567839,-50,NA,NA,3.82455
-58.7939698492462,-50,NA,NA,3.82455
-58.7336683417085,-50,NA,NA,3.82455
-58.6733668341709,-50,NA,NA,3.82455
-58.6130653266332,-50,NA,NA,3.82455
-58.5527638190955,-50,NA,NA,3.82455
-58.4924623115578,-50,NA,NA,3.82455
-58.4321608040201,-50,NA,NA,3.82455
-58.3718592964824,-50,NA,NA,3.82455
-58.3115577889447,-50,NA,NA,3.82455
-58.251256281407,-50,NA,NA,3.82455
-58.1909547738694,-50,NA,NA,3.82455
-58.1306532663317,-50,NA,NA,3.82455
-58.070351758794,-50,NA,NA,3.82455
-58.0100502512563,-50,NA,NA,3.82455
-57.9497487437186,-50,NA,NA,3.82455
-57.8894472361809,-50,NA,NA,3.82455
-57.8291457286432,-50,NA,NA,3.82455
-57.7688442211055,-50,NA,NA,3.82455
-57.7085427135678,-50,NA,NA,3.82455
-57.6482412060301,-50,NA,NA,3.82455
-57.5879396984925,-50,NA,NA,3.82455
-57.5276381909548,-50,NA,NA,3.82455
-57.4673366834171,-50,NA,NA,3.82455
-57.4070351758794,-50,NA,NA,3.82455
-57.3467336683417,-50,NA,NA,3.82455
-57.286432160804,-50,NA,NA,3.82455
-57.2261306532663,-50,NA,NA,3.82455
-57.1658291457286,-50,NA,NA,3.82455
-57.105527638191,-50,NA,NA,3.82455
-57.0452261306533,-50,NA,NA,3.82455
-56.9849246231156,-50,NA,NA,3.82455
-56.9246231155779,-50,NA,NA,3.82455
-56.8643216080402,-50,NA,NA,3.82455
-56.8040201005025,-50,NA,NA,3.82455
-56.7437185929648,-50,NA,NA,3.82455
-56.6834170854271,-50,NA,NA,3.82455
-56.6231155778895,-50,NA,NA,3.82455
