"Method","RMSPE","COV90","IS90","CRPS","time"
"FRK",0.456641859983349,0.879148720547251,2.20808098719704,0.232746581862448,8.10400000000008
"INLA",0.457638197229807,0.930073473524196,2.17790485823831,0.237517531444674,0.857850000000083
"LKrig",0.449282959964967,0.911071700025336,2.09202486199638,0.2310519590301,9.63381666666658
"mgcv",0.452068236867956,0.902077527235875,2.12044445529819,0.232698887380916,5.72508333333342
"MRA",0.444374755136384,0.917025589054978,2.06362027774296,0.225855624322915,9.87081395
"gstat",0.441368603872382,0.913738424457694,2.06726823857742,0.223585125801021,7.56429999999988
