"RMSPE","COV90","IS90","CRPS","Time","nres","NUM_BASIS_FUNCTIONS","Method","nlevel","NC"
1.50946356220925,0.901444134785913,6.85220551928522,0.767396626358873,18.802,1,12,"FRK",NA,NA
0.861226258934185,0.922346085634659,4.05362086293686,0.453792044307872,38.144,2,111,"FRK",NA,NA
0.515144509935817,0.93349379275399,2.53473979974641,0.275585696598653,79.0550000000001,3,1029,"FRK",NA,NA
1.24335752957498,0.920319229794781,5.87207795737737,0.671290661528353,36.3579999999999,NA,210,"LatticeKrig",1,5
0.995124954414662,0.927033189764378,4.78244650557649,0.534804634355443,36.033,NA,533,"LatticeKrig",2,5
0.681513822934529,0.933240435774006,3.30393510316548,0.362687166997088,55.3570000000001,NA,1154,"LatticeKrig",3,5
